Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C12, C13, C14, C15, C16, C17, C3, C5, C7, C9",C_0603,12,100nF_0603_16V,
"C2, C4, C6, C8",C_0603,4,1uF_0603_25V,
"H1, H2, H3, H4, H5, H6",MountingHole_3.2mm_M3_ISO14580,6,MountingHole,
"J0, J2, J4, J6",Pins_2x03_2.54mm_TH,4,Conn_02x03,
J1,J_SD_Card-micro_socket_A,1,Micro_SD_Card_Det2,
"J10, J3, J7, J8, J9",Pins_1x03_2.54mm_TH_AudioInsRGndL,5,Conn_01x03,
J5,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Odd_Even,
"R1, R2, R3, R4",R_0603,4,2.2k_0603,
"R10, R11, R12, R15, R16, R17, R18",R_0603,7,10k_0603_0.1%,
"R5, R6, R7, R8",R_0603,4,4.7k_0603,
RZ1,RP2040-Zero,1,RP2040-Zero,
"SW1, SW2, SW3, SW4",SW_PUSH_6mm_H4.3mm,4,SW_Push,
"U0, U2, U4, U6",SOP65P640X120-16N,4,AD5235BRUZ250-R7,AD5235BRUZ250-R7
U5,SSD1306-0.91-OLED-4pin-128x32,1,~,
